Designator,Mid X,Mid Y,Rotation,Layer
C1,114.725,-27.05,270.0,bottom
C10,47.38,-26.3475,270.0,bottom
C11,52.49,-32.3175,0.0,bottom
C12,90.39,-125.04,90.0,bottom
C13,91.87,-125.01,90.0,bottom
C14,96.4,-130.05,270.0,bottom
C15,131.5,-29.45,90.0,bottom
C16,131.5,-31.7,270.0,bottom
C17,122.2,-38.65,180.0,bottom
C2,125.0,-24.65,0.0,bottom
C3,128.0,-27.35,90.0,bottom
C4,116.2,-27.65,270.0,bottom
C5,119.4,-36.45,180.0,bottom
C6,121.6,-40.05,180.0,bottom
C7,121.55,-41.55,180.0,bottom
C8,121.8,-37.25,180.0,bottom
C9,144.0,-32.8,270.0,bottom
D1,43.2,-40.05,90.0,bottom
D10,80.7,-51.1,270.0,bottom
D11,99.5,-46.05,270.0,bottom
D12,118.7,-52.45,270.0,bottom
D13,137.95,-55.0,270.0,bottom
D14,157.05,-55.2,270.0,bottom
D15,42.4,-74.85,270.0,bottom
D16,61.75,-74.95,270.0,bottom
D17,80.4,-69.95,270.0,bottom
D18,99.9,-65.8,270.0,bottom
D19,118.65,-71.6,270.0,bottom
D2,62.4,-40.25,90.0,bottom
D20,138.25,-74.4,270.0,bottom
D21,157.3,-74.15,270.0,bottom
D22,42.7,-94.05,270.0,bottom
D23,61.7,-93.85,270.0,bottom
D24,80.8,-88.95,270.0,bottom
D25,99.9,-84.5,270.0,bottom
D26,118.7,-90.55,270.0,bottom
D27,137.95,-93.4,270.0,bottom
D28,157.0,-93.55,270.0,bottom
D29,42.55,-113.1,270.0,bottom
D3,80.6,-35.65,90.0,bottom
D30,61.7,-113.15,270.0,bottom
D31,80.35,-111.55,90.0,bottom
D32,99.65,-103.5,270.0,bottom
D33,119.3,-109.2,270.0,bottom
D36,142.2,-116.35,270.0,bottom
D37,160.45,-124.4,270.0,bottom
D38,179.35,-133.3,270.0,bottom
D39,60.9,-26.2975,0.0,bottom
D4,99.5,-30.65,90.0,bottom
D5,118.4,-40.85,90.0,bottom
D6,137.5,-39.55,90.0,bottom
D7,156.8,-39.05,90.0,bottom
D8,42.8,-55.9,270.0,bottom
D9,61.45,-55.75,270.0,bottom
F1,43.69,-24.8075,180.0,bottom
IC1,87.17,-123.41,180.0,bottom
R1,31.93,-28.8775,0.0,bottom
R10,37.9,-53.55,0.0,bottom
R11,37.9,-51.95,0.0,bottom
R12,38.3,-72.65,0.0,bottom
R13,38.3,-70.95,0.0,bottom
R14,28.2,-66.65,0.0,bottom
R15,84.0,-83.95,270.0,bottom
R16,80.55,-83.6,180.0,bottom
R17,70.8,-85.35,180.0,bottom
R18,45.5,-106.35,270.0,bottom
R19,44.8,-112.35,270.0,bottom
R2,36.65,-29.3575,270.0,bottom
R20,28.9,-104.35,0.0,bottom
R21,72.9,-128.3,180.0,bottom
R22,46.3,-127.65,180.0,bottom
R23,35.1,-128.35,180.0,bottom
R24,101.9,-35.2,0.0,bottom
R25,64.7,-26.3475,0.0,bottom
R3,135.95,-23.8,180.0,bottom
R33,103.5,-36.8,180.0,bottom
R4,139.4,-23.85,0.0,bottom
R5,94.6,-130.45,270.0,bottom
R6,89.65,-127.02,180.0,bottom
R9,28.7,-47.65,0.0,bottom
SW1,141.65,-32.05,180.0,bottom
SW2,131.8,-23.85,90.0,bottom
U2,34.5475,-29.6275,90.0,bottom
U3,152.2,-27.72,180.0,bottom
U4,54.2,-27.15,0.0,bottom
U6,122.2,-30.65,270.0,bottom
USB1,34.74,-22.8575,180.0,bottom
USB2,159.8,-28.05,270.0,bottom
Y1,135.5,-29.95,270.0,bottom
